,labels,data
10,Cloud Engineer,"***  Azure Devops Engineer - Contract - Remote/London***  Azure Devops Engineer 6 Month Rolling Contract London/Remote - carry remote Â£Competitive pwd Umbrella Company client blue chip FMCG retail brand serve millions customers every week globe. 6,000 stores internationally client well known household name offer number exciting opportunities.  two parts . first part  Mark Downs across stores nationally main part   computer vision projects. Computer Vision DevOps Position computer vision platform host internally developed 3rd party computer vision models deployed GPU based edge compute, serving data Tesco applications via API's. transform way use visual data surfacing Computer Vision capabilities Tesco teams, enabling make values-led decisions. We're  Azure DevOps engineer coding   DevOps . Essential Skills Expereince Azure deployment/configuration/management  CI/CD (Azure DevOps, Jenkins) Containers (Docker, Kubernetes  Helm charts) Configuration Management (Ansible) Familiarity network infrastructure concerns Programming/Scripting (Python, Java, Bash) Test Driven Infrastructure Alerting Monitoring ensure availability performance Scaling considerations Collaborative, self-driven attitude APPLY - PLEASE REPLY EMAIL DATE CV Candidates ideally show evidence CV order considered. Please advised heard us within 48 hours unfortunately application successful occasion, may however keep details file suitable future vacancies contact accordingly. Pontoon employment consultancy operates equal opportunities employer."
11,Cloud Engineer,"Azure Data Engineer - Permanent -Remote  / London / Bristol We're  rapidly growing global company  build Data Engineering   recruit 2 x talented Data Engineers extensive Azure . Working  small  Data Engineers,  build data platforms data pipelines - including Data Lakes, Data Warehouses & Power Bi - Using Microsoft Azure stack. provide real time data / important intelligence Data Analysts Data Scientists. also include social media scrapping (using example Python / Spark technologies) Sentimental analysis, information dark web   remotely, occasional travel London office - great   Greenfield project Typical technologies use include: Data collection, structuring, cleansing  collecting structured unstructured data, building managing data processing pipelines. Python associated libraries (Pandas, NumPy, SciPy, SQLAlchemy) Airflow, Prefect Azure Streaming Analytics, Data Factories, EventHubs, Kafka Analytics & Processing Apache Spark / Databricks, Azure streaming analytics, Apache Storm, Flink PowerBI SparkNLP, Huggingface, Spacy, Gensim Database technologies SQL, NoSQL, Graph, Search (ELK, Azure Search) Infrastructure Microsoft Azure, SQL, Data Lake you, submit CV today - look forward talking  detail."
12,Cloud Engineer,"exciting   agile ,  hottest Azure technologies. Focusing Azure,  primarily responsible managed service, ensuring clients get best Ensono, relentless ally. constantly  improve service offer customers via continuous service improvement  understand customer’s needs, taking ownership implementations improvements. Within  able drive decision-making help shape improve   trusted Microsoft Partner, Microsoft cloud technologies heart do. Learning, collaborating, training certification strongly encouraged, opportunities provided.  expand  expand capabilities Azure & DevOps best department within Ensono. successful candidate someone demonstrate genuine desire passion technology tools involved. Someone curious keen learn innovative technologies suggest improve service  provides clients well internal stakeholders. Key Responsibilities prescribed framework ensure successful development, testing deployment  automated processes drive service improvements across Azure Business unit monitoring, management, configuration, maintenance troubleshooting  existing tools products, leading recommendations customer Ensono stakeholders resolve remediate issue. Performing system changes, including upgrades, internal customer-facing systems agreed Request Change window. Establishing good  relationships customers professionals within Ensono Acting internal escalation point support requests require analysis and/or project management focus development documentation, ensure consistent robust level support support structure. Solve technical problems, provide guidance various teams (internal & external), continually improve systems, deployments, operations, monitoring overall cloud activities costs. responsibility ensuring Service Level Agreements place customers additional  metrics met. translate complex customer requirements technical tasks execute Involved levels technical discussions, architecture hands coding. key part  delivering complex projects inception delivery.   consultants deliver automated, secure, robust cloud infrastructure solutions. Work closely  members identify automate manual repetitive processes ensuring efficiency, quality, scalability Help develop robust organizational practices around monitoring, alerting, testing, deployment, incident response Candidate Must Skills  Thorough demonstrable   Azure Thorough demonstrable system administration Support  Strong understanding cloud computing hands-on  migrating  Azure. Good knowledge managing Windows Linux servers. Hands  Kubernetes, automating deployment configuration (manifests/helm/Docker/etc) Good scripting  PowerShell Azure. (Ability create complex automation scripts & understand manipulate existing complex scripts) Strong capability  troubleshooting Infra Code (YAML, JSON, Terraform, Ansible, Bicep…. etc.). previous  deploying managing resources using Infra Code. Must  building cloud automation, including CD/CI pipelines using PowerShell, ARM, Terraform, Kubernetes, Jenkins, Docker, GitOps, AzureDevOps Maintain advance deep technical  knowledge, keeping date market trends competitive insights, part technical community Develop promote reuse patterns standards improve service deliver customers. Good  knowledge Azure Policy understands cloud governance. proactively evaluate customer platforms review cost, capacity, security Azure best practices. So, constantly improve service offered customers. proactive, collaborative  player, keen share knowledge, automate improve processes wherever possible Understanding Agile Scrum methodology good understanding Azure Networking well third party firewalls like Palo Alto, would beneficial. Required   Virtual Machines, Azure Site Recovery, Azure Functions, Azure Automation , App Service, Scale Sets, Azure Devops, Azure Active Directory, Azure Policy, Azure Monitor, Azure Backup, Azure storage, Application Gateway, Azure DNS, ExpressRoute, Load Balancer. Desirable  Machine Learning, Logic Apps, API Management, Service Bus, Event Grid, Data Factory, Azure Stream Analytics, Azure Analysis Services, Event Hubs, Azure SQL. Education Certifications Desired/Required Typically requires bachelor’s degree minimum 2-5 years related , advanced degree without , equivalent   AZ-104 - Microsoft Azure Administrator AZ-500 - Microsoft Azure Security Technologies AZ-400 - DevOps Engineer Expert Certified Kubernetes Administrator (CKA) HashiCorp Certified: Terraform Associate"
13,Cloud Engineer,"Job Azure Data Architect required month 6 contract (possibility extending) WFH travel Southampton, Hampshire. need undergo SC Clearance  Working leading Defence company, provide Azure Cloud infrastructure design support major research project  Data Science, creation Digital Twin Machine Learning. project early stages require design set data pipelines Azure multiple sources, several data processing steps, creation data lake data warehouse, integration on-site systems  experienced highly capable Azure data architect  accomplished , help us design implement critical piece infrastructure meet needs large exciting research collaboration. candidate  technical  research engineers spearhead design Azure ecosystem, required balance  needs costs whilst retaining flexibility enable diverse requirements research challenges.  Required minimum 5 years  designing successful solutions Cloud, minimum 3 years  Azure cloud, including AZ-300 AZ-301 certification. Data Engineering & pipeline design data science applications. depth understanding available Azure services including: Data Lake, Data Warehouse, DataFactory, Databricks  using IaC technologies, especially Terraform ARM templates Working unstructured data Azure data pipelines  Hybrid systems cloud on-prem elements. Balancing cost/performance trade-offs R&D context Essential Required  Include addition  require proven data engineering  order help implement data pipelines, Azure DP-200 DP-201 certification. Minimum 3 years hands Data Engineering  Building ETL ELT pipelines  start ASAP pay £500 - £550 umbrella per day (inside IR35) depending level . Networkers acts employment agency permanent recruitment employment  supply temporary  part Gattaca Plc. Gattaca Plc provides support services Networkers may assist processing application."
14,Cloud Engineer," Azure Databricks SME Remote  support client part wider Azure migration, require Azure Databricks expert provide specialist support guidance. Skills required: *  Azure platform Databricks (must) *  Azure PowerApps, Azure ML (a plus) *  architecting complex solutions *   R C clients (a plus) *  building Trade Promotion Management Post-event analytics solutions (a plus)"
15,Cloud Engineer,"Incremental Group high growth digital technology  based various locations around UK.   Data Engineer  growing . proven track record data analysis, leading design architecture Azure data solutions? Primary accountabilities Coach, develop mentor  Data Engineers Formulate solution offerings deliver value customers Drive revenue growth services non-services revenue Work customers understand define data landscape relates  Design, develop, execute maintain highly automated data pipelines using cloud technologies Analyse resolve data quality issues Undertake data analysis produce analytical models data transformations Lead data  part larger Dynamics cloud programmes Lead pre-sales engagement lead win Evangelist Incremental data capability. Required professional technical expertise Data modelling data warehousing  Extensive analysis/requirements gathering, solution design implementation data platform Azure technologies  scoping delivering projects estimates  mentoring training  members Extensive  developing integrations Azure data platform various types external systems recommend approach technology Extensive   Microsoft technology stack build deployment automation Exceptional communication  written verbal – Ability translate complex technical subject matter easily understood presentations written documentation mixed technical audiences. Hands-on  tools languages including Azure Data Factory (And SSIS) Synapse (Data Warehouse) Databricks Data Lake Logic Apps Function Apps SQL PowerShell Python Azure DevOps Power BI Power Automate SSRS. Nice  Tools/languages: Spark, Scala, Machine Learning Studio, Dynamics 365, Azure cloud infrastructure  configuration, customisation implementation Dynamics 365 Solutions Knowledge Common Data Service (CDS) Common Data Model (CDM)  building solutions around  Dynamics data migrations  developing delivering training materials customers  delivering Waterfall Agile projects. offer , key member Power Platform Automation practice,  strong  significant projects initiatives across customer base. empowered make key decisions within ambitious entrepreneurial digital technology . offer industry leading "
16,Cloud Engineer,"\ N Azure DevOps Engineer \ N GFT GFT driving digital transformation world’s leading financial institutions. sectors, industry insurance, also leverage GFT’s strong consulting implementation  across aspects pioneering technologies, cloud engineering, artificial intelligence, Internet Things Industry 4.0, blockchain.\ N in-depth technological expertise, strong partnerships scalable solutions, GFT increases productivity software development. provides clients faster access  applications innovative  models, also reducing risk. \ N  Summary \ N  technologist  GFT  help build rapidly expanding Azure, GCP AWS businesses. position based London limited international travel may required. potential variety  GFT supporting clients truly mind-blowing.\ N  within Azure practice, opportunities  number projects including GCP AWS focussed.\ N Key Capabilities Understanding interaction alternate technologies incumbent technology ( industry / technology awareness) Ability manage complex technical deliverables meet program requirements Balancing best breed technical implementation commercial /  schedule  within budget imperatives Ability  deadlines Knowledge development practices DevOps culture. Strong technical, architectural design  Identify problems, provide range solutions\ N Key Duties & Responsibilities:\ N  project engineering  focus adding hands-on expertise, ensuring outcomes meet highest technical agile standards.\ N Key Requirements:\ N Strong knowledge Windows & Linux based systems DevOps background/  configuration management tools infrastructure code; primarily ARM templates, Terraform Powershell DSC. Secondary knowledge one following advantage; Puppet, Chef Ansible Knowledge Azure & it’s core services; Subscriptions, VNETs, ExpressRoute, Storage Accounts, Application Gateways, SQL, CosmosDB, Monitor, Event Hub, Functions, LogicApps, WebApps, Virtual Machines Knowledge basic Azure security controls; NSGs, Firewalls, Security Center & Azure Policy Previous Azure data  bonus (Datalake, DataBricks, Synapse, Stream Analytics) Scripting ability (ideally Python Powershell) Knowledge  GCP Knowledge Containers Container Orchestration Docker Kubernetes passion open source technologies open source community Demonstrable  cloud-automation Demonstrate ability quickly learn  technologies. Demonstrable  across range DevOps tooling: CI – Jenkins/TeamCity/CircleCI/Azure DevOps SCM – Bitbucket/Github/Gitlab CD – Spinnaker/Octopus/Bamboo Testing JMeter/Cucumber/Pester Documentation: Jira, Confluence\ N Personal Skills ability apply structured thinking, simplifying complex problems component parts, resolution project challenges. Working practices; thorough high standards  Effective communication interpersonal  able establish rapport people levels. eye detail accuracy, affinity design issues ability help establish vision solutions. ability  teams knowledge agile processes & ceremonies Scrum, SaFe Kanban Organizational ability tenacity; able think ahead order establish efficient appropriate course action self others. Take proactive approach  good handling uncertainty manage  without close supervision. strong sense ownership desire deliver quality outcomes . Demonstrated strong oral written communication .\ N offer you:\ N  brightest people  technology challenging rewarding projects  like minded individuals. GFT prides international environment promotes professional cultural exchange encourages individual development.\ N Founded 1987 located 13 countries ensure close proximity clients, GFT employs 5,000 people. GFT provides career opportunities areas software engineering innovation. GFT Technologies SE share listed Prime Standard segment Frankfurt Stock Exchange\ N"
17,Cloud Engineer,"Azure Data Solution Architect Cognizant Microsoft Business Group (MBG) singular purpose —advancing clients' cloud modernization journeys focus, simplicity, scale. end-to-end Microsoft-centric cloud solutions managed services provider, leverage extensive  IP deliver constant innovation  value, powered Microsoft Cloud platform. MBG's next Azure Data Solution Architect ,  industry leading experts, delivering innovative greenfield Data Platform builds, Data Integration programmes providing bespoke High-Level Data Architectural designs.  Cognizant's MBG Multi Award Winning Business Official Award-Winning Microsoft Partner Award wining Databricks partner Official GitHub Partner Cloud Native Organisation Growing International Diverse teams Hugely collaborative environment, ideas knowledge sharing actively encouraged Private Medical Insurance, Income Protection Cover Death Service Group Personal Pension Plan Flexible Working Working Home Tax free Childcare Assistance Plus, much, much more!  Description doing? Solution Architects need able identify appropriate uses technology case. example, able determine Analysis Services called for. need demonstrate understanding licensing, different configurations offered components – example serverless vs provisioned SQL, Power BI Premium, flat vs hierarchical Data Lake storage. Solution architects able design data platform Azure ground up. need expert knowledge key components, notably Azure Data Factory, Azure Storage, Azure Databricks, Azure Synapse Azure Database, Azure Analysis Services Power BI. also familiarity Event Hubs, IoT Hubs Stream Analytics, Azure API Manager. knowledge CosmosDB AzureML desirable, understanding related technologies Power Platform, Logic Apps, Azure Functions Event Grids. type  Azure Data Solution Architect need successful ? Candidates need able show  entire data lifecycle, variety onboarding techniques cloud legacy systems batch streaming scenarios. able propose Data Lake zoning strategies describe implemented. ability model data dimensional models required  modelling techniques Data Vault desirable Knowledge fundamental underpinnings Azure solution design required. Candidates understand Azure tenants, subscriptions resource groups. Understand basics Azure networking, security groups, Express Route, etc. solution architect able explain systems resilient secure. Candidates require  delivering projects using Azure DevOps. Solution Architects confident presenters, well-developed presentation  ability communicate complicated subjects appropriate manner. Certifications (Non-essential desirable) Exam DP-201: Designing Azure Data Solution Exam AZ-303: Microsoft Azure Architect Technologies Exam AZ-304: Microsoft Azure Architect Design Security Responsibility: employees must act accordance Cognizant Microsoft Business Group's corporate security standards. CORE VALUES employees driven values know make positive difference every time help customer solve challenges. focus delivering great customer experiences empowers people build rewarding relationships contribute positive  environment. Human use hearts minds collaborate success. harness technology drive , never let replace human connections. use hearts minds collaborate success instil confidence customers relationships forged trust. Generous giving respectful. efforts always generous, elevate service level empathetic considerate communications actions. always find way support customers colleagues giving time talent equally respecting time talent others. Authentic tell is, positive intent. authentic helps nurture strong trusted relationships. honest, transparent, reliable. partner MBG, partnering group purposeful, outcome-driven results-oriented professionals. Innovative push boundaries intersection people, process technology. us, limit dreams. continually innovate push boundaries intersection people, process, technology bring customers colleagues best solutions first. EQUAL EMPLOYMENT OPPORTUNITY Cognizant Microsoft Business Group prohibits discrimination harassment type without regard race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity expression, factors protected federal, state local laws. policy applies terms conditions employment, including aspects recruiting employment life-cycle MBG. EMPLOYMENT ELIGIBILITY Cognizant Microsoft Business Group requires candidates prove eligibility  UK. Offered candidates may asked complete background check permitted applicable employment regulations. Depending requirements job, record checks may include following education verification, employment verification, drug screening, criminal record check Cognizant Microsoft Business Group (mbg) Cognizant Microsoft Business Group (MBG) singular purpose—advancing cloud modernization journey focus, simplicity scale. Microsoft Business Group end-to-end Microsoft-centric cloud solutions managed services provider leverages extensive  IP deliver constant innovation  value, powered Microsoft Cloud platform. designed reflect think cloud transformation platform native perspective. dedicated experts trusted blueprint deliver digital difference Microsoft Cloud: Azure, Microsoft 365 Dynamics 365. turn digital potential real  performance speed. destination employer Microsoft-committed professionals, providing depth specialization differentiated career paths. authentic conversations, build connections grow careers centering around employees. global  certified consultants across relevant technologies, coupled cloud focused advisory consultants. supercharged talent, world's best Microsoft partner. prioritize investing expanding. EQUAL EMPLOYMENT OPPORTUNITY Global Cloud Transformation Consultancy , Cognizant Microsoft Business Group (MBG) understands diversity inclusion  brings "
18,Cloud Engineer,"DevOps Engineer - (Azure) - Contract - 600 - £650 Per Day - Outside IR35 - Fully Remote Overview: client, leading FTSE 100 organisation  experienced DevOps Engineer strong Azure & .NET . -specific knowledge: • DevOps hands-on  Azure • Azure DevOps configuration • Azure resource management, monitoring diagnostics • SQL PaaS • VM • Azure Frontdoor, Application Gateway, Firewall, etc • Infrastructure code • Release management • Service Bus, Synapse, Azure Data Factory, Analysis Services, PowerBI • Coding C#, PowerShell, YAML • Kubernetes, Docker • SonarCube Responsibilities  required: • Support developers effectively utilize Azure DevOps life cycle software development • Implement build, release, approval pipeline (YMAL) manage deployment well managing /permission  • Provide support investigating production issue analysis logs trace Azure resources well  teams (Network, Security) • Knowledge deploying Azure resources template Infrastructure Code • Coding (C#) script (PowerShell) automate in-house process • Ensure performance resource monitoring, alerting fit purpose • Ensure Azure costs monitor resource implementation efficient possible • Work development support teams identify, plan execute service improvements systems developed • Drive adoption best practice enforce use standard systems solution deployed • Work project support teams manage service introduction deployment ensuring best practice third-party teams including delivery acceptable test scenarios scripts • Ensure implementation support documentation kept date • Manage Azure DevOps configurations • Help guide long-term Azure direction architecture • Guide, configure test DR/HA strategy element Azure infrastructure Details: • 6 month initial contract. •£600 - £650 Per Day. • Fully Remote. DevOps Engineer - (Azure) - Contract - 600 - £650 Per Day - Outside IR35 - Fully Remote"
19,Cloud Engineer,"Azure Data Platform Engineer - London talented Azure Data Platform Engineer   exciting   fast-growing company?  part innovative, fast-paced technology-driven culture always  ways enhance tech used within industry. large enterprise  increase headcount due growth. Endless progression opportunities available client committed supporting personal development career growth. organisation provide  operate forefront technology. access world-renowned clients exciting projects,  one missed!  Design, develop deliver BI solutions based Microsoft Data Platform Constantly developing technical  using latest cloud technology: achieving maintaining Microsoft certification Working high profile projects well-known clients across various sectors Gathering customer requirements, understanding need rather want Mentoring less experienced members  support personal development Helping facilitate delivery projects participating QA project/sprint planning Technical Skill-Set Data Factory Data Lake Store (gen 2) Azure SQL Azure Analysis Services MS BI Stack - SSIS, SSRS, SSAS Desirable Technical skill-set Azure Monitor Power platform technologies PowerShell scripting Data Catalog Culture Collaborative culture Diverse culture embraces every individual Healthy  balance encouraged Flexible culture "
20,Cloud Engineer,"Would like  best? part growth, client recently acquired Microsoft Gold Partner UK's Leading MS Gold Partner Data Platform, Data Analytics Data Science.  purely Azure Data Platform on-premises projects. size MS Practice expertise, first choice large projects within Azure PaaS. Clients include FTSE 250 FTSE 100 sized companies well large public sector organisations. company culture attracting best people. mind currently Microsoft MVP's company world Data Science  also two Nobel Prize winners. Need Strong communication  Project/Training exposure Microsoft Azure Services (but limited to): Azure SQL, Synapse Analytics, Data Factory, Data Lake, Databricks. Traditional Microsoft BI stack: SSRS / SSAS (Tabular DAX & OLAP MDX) / SSIS Power BI (Power BI Desktop, Power BI Service) Happy travel client sites 2  per week covid 2022. Get 25  holiday + bank (ability buy extra 5) Bonus figure split personal/company performance depends upon grade. Certification training- 80 hours training per year £1900 additional spend whatever tech like! Life Insurance/Death Service Travel expenses outside regular commute exclusive  Nigel Frank, therefore possess skillset please contact directly details c.spencer@@nigelfrank.com 0191 223 5303"
21,Cloud Engineer,"Microsoft Azure Data Power Platform Consultant - Insight & Data Services – Permanent  guideline: £65,000 - £95,000 pa (Depending ) + "
22,Cloud Engineer,"Cloud Engineer / DevOps Engineer (AWS KS8 Terraform SaaS) *Remote Interview WfH*. Would like progress career  hands-on  take ownership, collaborate diverse talented colleagues see results  quickly? could joining rapidly growing Cyber Security technology company enabling SMEs protect security threats via advanced SaaS platform. Cloud Engineer design, implement maintain core product, supporting infrastructure roadmap allow scalability, security compliance. take ownership maintaining improving developer tools, services environments including CI/CD pipelines, collaborate software engineers QAs transitioning automation first approach enhance ways  within Agile  environment. joining product-led  cyber security experts, engineers, data scientists sales professionals, building breakthrough technology enables businesses sizes ensure maintain ongoing security posture; they've ""start-up year awards"", well funded great time  scale . able shape  develops quickly progress career. There's remote interview onboarding process well ability  home anywhere UK fulltime; could part based London office depending preference. Requirements: *You advanced  implementing cloud infrastructure using AWS *You strong knowledge Kubernetes, Terraform (and Terragrunt ideally) *You  product / software company Continuous Integration / Continuous Deployment *You're advocate automation able champion use within cross functional teams *You're collaborative pragmatic *You're keen progress career start-up environment lots ownership excellent career progression Cloud Engineer / DevOps Engineer earn competitive salary (to Â£90k) plus "
